"","Pin25307","Pin25708","Pin25825","Pin27584","Pin35790","Pin35791"
"Natrarchaeobaculum aegyptiacum",0,0,27,24,27,28
"Natrialba magadii",0,45,34,0,30,51
"Natrinema pellirubrum",0,0,0,82,0,0
"Natrinema sp. DC36",0,0,0,36,0,0
"Natrinema sp. SLN56",0,37,44,0,0,47
"Natrinema sp. YPL30",0,49,0,0,0,0
"Natronococcus occultus",0,31,0,47,0,0
"Salinarchaeum sp. Harcht-Bsk1",0,28,23,33,23,34
"Methanobacterium paludis",0,0,0,51,0,0
"Methanocella arvoryzae",0,0,0,27,0,0
"Methanoculleus bourgensis",0,0,0,0,31,29
"Methanoculleus chikugoensis",0,0,0,27,0,30
"Methanosarcina acetivorans",0,0,0,58,0,0
"Methanosarcina barkeri",0,0,0,602,0,0
"Methanosarcina flavescens",0,0,0,114,0,0
"Methanosarcina horonobensis",0,0,0,84,0,0
"Methanosarcina lacustris",0,0,0,124,0,0
"Methanosarcina mazei",0,0,0,140,0,0
"Methanosarcina siciliae",0,0,0,72,0,0
"Methanosarcina sp. Kolksee",0,0,0,108,0,0
"Methanosarcina sp. MTP4",0,0,0,84,0,0
"Methanosarcina thermophila",41,0,0,71,0,0
"Methanosarcina vacuolata",0,0,0,84,0,0
"Candidatus Nitrosocosmicus franklandus",0,20,69,0,37,50
"Candidatus Nitrosocosmicus hydrocola",30,38,48,0,0,37
"Candidatus Nitrosocosmicus oleophilus",982,1714,3624,167,111,1746
"Nitrososphaera Candidatus Nitrososphaera evergladensis",0,46,90,0,48,76
"Nitrososphaera Candidatus Nitrososphaera gargensis",63,33,131,0,25,102
"Acidisarcina polymorpha",184,161,163,321,486,230
"Acidobacterium capsulatum",274,222,271,435,503,362
"Acidobacterium sp. 4Y35",224,272,184,601,845,401
"Candidatus Koribacter versatilis",300,332,279,719,829,469
"Edaphobacter sp. 12200R-103",199,182,174,321,594,233
"Edaphobacter sp. 4G125",157,127,82,171,352,167
"Granulicella mallensis",209,241,228,368,501,286
"Granulicella sp. 5B5",210,219,228,275,466,313
"Granulicella sp. WH15",315,304,312,441,585,400
"Granulicella tundricola",187,134,125,236,389,195
"Terriglobus albidus",200,201,191,342,434,315
"Terriglobus roseus",271,262,237,437,636,377
"Terriglobus saanensis",150,133,104,174,234,206
"Paludibaculum fermentans",661,541,579,688,886,954
"Sulfidibacter corallicola",147,142,125,116,157,209
"Luteitalea pratensis",6301,3810,7893,3717,3121,18102
"Luteitalea sp. TBR-22",4250,3384,5748,2955,2798,7647
"Acidimicrobium ferrooxidans",152,348,373,267,263,346
"Actinomarinicola tropica",1830,3792,3923,2541,2408,4864
"Aquihabitans sp. G128",2526,4108,4559,2854,2651,5355
"Aquihabitans sp. Kera 3",1733,3370,3282,2311,2316,4159
"Iamia sp. SCSIO 61187",1766,3677,4352,2162,2035,5297
"Ilumatobacter coccineus",989,1963,2478,1088,1030,2594
"Acidothermus cellulolyticus",125,292,182,215,266,281
"Actinobaculum sp. 313",34,53,50,43,44,42
"Actinomyces faecalis",24,106,66,84,61,86
"Actinomyces gaoshouyii",45,101,62,65,67,96
"Actinomyces howellii",82,164,119,140,141,190
"Actinomyces lilanjuaniae",36,71,53,57,61,61
"Actinomyces marmotae",36,94,71,66,68,75
"Actinomyces naeslundii",43,98,62,108,67,86
"Actinomyces oris",108,234,187,106,186,197
"Actinomyces pacaensis",0,23,25,0,0,0
"Actinomyces procaprae",71,147,105,106,109,155
"Actinomyces qiguomingii",46,85,61,61,76,79
"Actinomyces radicidentis",155,281,177,202,206,235
"Actinomyces respiraculi",71,126,84,124,116,104
"Actinomyces slackii",46,111,69,115,104,89
"Actinomyces sp. 432",46,102,94,72,95,89
"Actinomyces sp. Chiba101",48,71,74,113,81,99
"Actinomyces sp. MAS-1",56,128,113,91,90,113
"Actinomyces sp. oral taxon 169",0,0,0,0,0,122
"Actinomyces sp. oral taxon 171",67,122,93,88,102,105
"Actinomyces sp. oral taxon 414",135,206,143,175,171,200
"Actinomyces sp. Z16",73,160,100,91,116,123
"Actinomyces trachealis",25,51,34,39,31,33
"Actinomyces viscosus",55,92,76,95,107,93
"Actinomyces weissii",47,61,57,103,66,60
"Actinomyces wuliandei",54,78,63,48,63,93
"Actinotignum schaalii",0,42,25,27,23,37
"Changpingibacter yushuensis",36,72,43,43,50,52
"Flaviflexus ciconiae",27,52,46,40,37,69
"Flaviflexus salsibiostraticola",104,179,123,129,153,193
"Flaviflexus sp. dk850",84,75,96,67,75,101
"Mobiluncus curtisii",0,39,0,44,37,0
"Nanchangia anserum",51,111,107,93,111,136
"Pauljensenia hongkongensis",69,161,149,119,147,143
"Schaalia cardiffensis",34,31,48,28,44,54
"Schaalia meyeri",39,59,75,43,48,65
"Schaalia odontolytica",71,135,107,108,129,145
"Schaalia sp. 19OD2882",77,92,92,79,118,112
"Schaalia sp. JY-X169",23,23,40,23,39,25
"Schaalia sp. ZJ405",0,24,0,0,25,36
"Schaalia turicensis",55,44,87,62,48,74
"Trueperella bialowiezensis",0,45,56,29,39,43
"Trueperella pecoris",83,109,116,93,83,102
"Trueperella pyogenes",90,102,118,85,101,103
"Actinopolyspora erythraea",149,320,219,221,280,244
"Bifidobacterium actinocoloniiforme",22,32,31,24,30,32
"Bifidobacterium adolescentis",42,77,51,81,88,39
"Bifidobacterium angulatum",0,39,36,31,0,44
"Bifidobacterium animalis",82,120,86,123,108,138
"Bifidobacterium asteroides",47,58,38,49,45,76
"Bifidobacterium bifidum",92,95,76,96,87,108
"Bifidobacterium breve",57,98,145,76,58,112
"Bifidobacterium catenulatum",0,42,41,0,50,44
"Bifidobacterium choerinum",130,233,149,167,136,182
"Bifidobacterium dentium",23,21,29,32,21,35
"Bifidobacterium eulemuris",0,51,35,36,58,29
"Bifidobacterium lemurum",46,33,44,45,45,26
"Bifidobacterium longum",149,302,241,249,244,277
"Bifidobacterium pseudocatenulatum",0,44,0,0,0,57
"Bifidobacterium pseudolongum",100,159,121,128,102,170
"Bifidobacterium pullorum",40,92,71,127,81,89
"Bifidobacterium scardovii",65,75,69,93,65,92
"Bifidobacterium subtile",38,66,67,59,59,72
"Bifidobacterium thermophilum",28,0,31,37,45,42
"Parascardovia denticolens",0,26,0,0,34,38
"Catenulispora acidiphila",454,953,617,1878,3602,867
"Corynebacterium aquilae",25,47,30,32,39,36
"Corynebacterium argentoratense",0,40,0,33,39,32
"Corynebacterium atypicum",64,114,92,94,95,145
"Corynebacterium aurimucosum",40,87,64,59,44,72
"Corynebacterium bovis",114,229,157,146,201,223
"Corynebacterium camporealensis",0,37,0,0,27,43
"Corynebacterium choanae",0,25,25,0,34,0
"Corynebacterium comes",40,117,90,67,91,135
"Corynebacterium coyleae",41,66,64,41,42,70
"Corynebacterium cyclohexanicum",191,451,313,343,392,401
"Corynebacterium cystitidis",24,0,26,22,30,40
"Corynebacterium diphtheriae",0,58,0,0,62,49
"Corynebacterium doosanense",98,173,142,139,147,212
"Corynebacterium efficiens",43,60,73,55,65,84
"Corynebacterium endometrii",0,36,44,28,50,43
"Corynebacterium epidermidicanis",0,41,41,43,49,43
"Corynebacterium falsenii",55,105,102,87,108,86
"Corynebacterium flavescens",43,54,33,0,29,39
"Corynebacterium frankenforstense",119,270,164,165,200,226
"Corynebacterium freneyi",115,202,129,190,188,197
"Corynebacterium genitalium",42,89,58,63,50,68
"Corynebacterium gerontici",0,0,0,23,30,0
"Corynebacterium glaucum",40,89,72,51,87,71
"Corynebacterium glucuronolyticum",38,54,61,58,73,71
"Corynebacterium glutamicum",326,484,0,629,543,0
"Corynebacterium glyciniphilum",47,111,73,89,80,71
"Corynebacterium halotolerans",101,217,151,135,203,162
"Corynebacterium humireducens",76,119,152,115,114,124
"Corynebacterium imitans",53,122,123,81,108,103
"Corynebacterium incognita",39,73,51,57,68,42
"Corynebacterium jeikeium",264,382,482,322,333,490
"Corynebacterium kalinowskii",38,62,0,43,35,63
"Corynebacterium kefirresidentii",0,0,51,0,0,0
"Corynebacterium kroppenstedtii",27,70,45,60,44,81
"Corynebacterium lactis",32,47,53,53,52,48
"Corynebacterium liangguodongii",65,101,89,106,105,122
"Corynebacterium lizhenjunii",0,0,39,0,27,39
"Corynebacterium lujinxingii",41,74,54,73,77,93
"Corynebacterium macginleyi",0,26,0,0,0,0
"Corynebacterium marinum",75,148,134,105,114,164
"Corynebacterium maris",62,141,100,91,121,126
"Corynebacterium matruchotii",0,44,31,25,44,34
"Corynebacterium minutissimum",0,0,0,45,55,74
"Corynebacterium mycetoides",70,104,118,88,122,133
"Corynebacterium nuruki",110,186,83,147,157,166
"Corynebacterium occultum",25,48,46,57,56,61
"Corynebacterium pelargi",0,0,0,0,28,41
"Corynebacterium phocae",0,0,23,22,27,0
"Corynebacterium propinquum",0,40,0,0,0,0
"Corynebacterium provencense",56,114,97,80,76,113
"Corynebacterium qintianiae",46,50,63,47,109,75
"Corynebacterium renale",27,46,0,27,40,43
"Corynebacterium resistens",0,0,70,90,50,0
"Corynebacterium riegelii",29,35,45,35,41,55
"Corynebacterium sanguinis",82,163,148,79,113,140
"Corynebacterium segmentosum",0,0,0,0,26,47
"Corynebacterium simulans",0,53,63,36,39,73
"Corynebacterium singulare",0,64,0,0,0,54
"Corynebacterium sp. CNCTC7651",65,103,59,63,83,103
"Corynebacterium sp. NML98-0116",67,107,98,83,95,98
"Corynebacterium sphenisci",126,265,181,221,224,229
"Corynebacterium striatum",63,113,58,67,68,117
"Corynebacterium terpenotabidum",57,105,72,69,87,114
"Corynebacterium testudinoris",45,73,34,67,59,67
"Corynebacterium timonense",64,123,80,92,106,116
"Corynebacterium tuberculostearicum",0,118,70,49,63,129
"Corynebacterium ulcerans",0,0,0,0,0,33
"Corynebacterium urealyticum",89,135,124,158,128,157
"Corynebacterium ureicelerivorans",45,143,89,90,118,90
"Corynebacterium urogenitale",0,54,30,29,41,41
"Corynebacterium uterequi",61,70,81,68,75,79
"Corynebacterium variabile",102,188,157,171,192,177
"Corynebacterium vitaeruminis",99,173,109,107,115,125
"Corynebacterium xerosis",165,322,262,291,228,363
"Corynebacterium yudongzhengii",83,108,87,62,88,150
"Corynebacterium zhongnanshanii",28,44,43,31,44,36
"Dietzia lutea",130,340,205,219,234,276
"Dietzia psychralcaliphila",132,270,173,204,221,204
"Dietzia sp. oral taxon 368",233,513,389,414,364,399
"Dietzia timorensis",164,277,213,230,279,304
"Tomitella fengzijianii",173,362,217,276,283,323
"Tomitella gaofuii",198,336,269,303,346,336
"Gordonia ajococcus",0,149,0,0,138,240
"Gordonia alkanivorans",276,240,363,382,392,277
"Gordonia amarae",138,300,231,263,278,290
"Gordonia amicalis",0,243,0,0,293,0
"Gordonia bronchialis",190,388,256,243,283,299
"Gordonia insulae",199,399,287,322,354,356
"Gordonia iterans",191,371,282,276,290,348
"Gordonia jinghuaiqii",162,287,198,242,264,232
"Gordonia otitidis",156,256,216,220,259,261
"Gordonia phthalatica",232,424,308,318,350,382
"Gordonia polyisoprenivorans",340,655,425,511,580,560
"Gordonia pseudoamarae",143,251,231,199,273,252
"Gordonia rubripertincta",246,358,249,339,331,475
"Gordonia sp. 135",0,0,0,200,0,234
"Gordonia sp. 1D",0,305,0,0,0,0
"Gordonia sp. JH63",0,142,189,141,133,140
"Gordonia sp. KTR9",153,245,199,210,211,214
"Gordonia sp. PDNC005",143,221,154,188,196,223
"Gordonia sp. WA4-43",178,175,189,226,164,184
"Gordonia sp. YC-JH1",228,469,347,371,436,546
"Gordonia terrae",311,492,373,465,400,447
"Gordonia zhaorongruii",127,199,157,175,201,172
"Skermania piniformis",147,326,232,254,273,302
"Lawsonella clevelandensis",0,34,32,24,0,0
"Hoyosella subflava",99,201,137,215,173,179
"Mycobacterium avium",786,1836,1280,1625,1900,1190
"Mycobacterium basiliense",207,397,310,417,468,286
"Mycobacterium branderi",501,1059,827,996,1225,586
"Mycobacterium canettii",289,727,670,816,1203,415
"Mycobacterium colombiense",271,545,340,514,538,301
"Mycobacterium conspicuum",411,915,572,957,983,474
"Mycobacterium cookii",417,1039,646,1182,1112,545
"Mycobacterium crocinum",243,547,398,481,614,401
"Mycobacterium diernhoferi",486,878,749,927,948,544
"Mycobacterium dioxanotrophicus",769,1719,1078,1539,1885,1025
"Mycobacterium florentinum",316,788,503,742,889,452
"Mycobacterium frederiksbergense",741,1554,1312,1221,1479,981
"Mycobacterium goodii",493,1131,740,975,1165,686
"Mycobacterium gordonae",282,614,499,623,758,446
"Mycobacterium grossiae",635,1391,895,1358,1472,873
"Mycobacterium haemophilum",151,329,265,351,418,169
"Mycobacterium heckeshornense",384,906,592,956,1079,470
"Mycobacterium heidelbergense",292,640,463,618,715,331
"Mycobacterium holsaticum",723,1799,1154,1646,2013,952
"Mycobacterium intracellulare",1437,4534,2266,3345,4423,1953
"Mycobacterium kansasii",295,656,492,647,855,392
"Mycobacterium koreense",275,532,431,483,507,325
"Mycobacterium kubicae",443,1055,667,919,1035,592
"Mycobacterium lacus",299,681,512,724,893,350
"Mycobacterium lentiflavum",381,818,479,773,919,511
"Mycobacterium leprae",29,60,65,79,82,34
"Mycobacterium lepromatosis",27,64,47,53,70,41
"Mycobacterium malmoense",255,619,439,502,657,369
"Mycobacterium mantenii",350,725,460,800,888,368
"Mycobacterium marinum",535,1202,767,916,1282,658
"Mycobacterium marseillense",284,521,378,555,625,381
"Mycobacterium noviomagense",335,724,519,657,794,351
"Mycobacterium novum",0,649,650,570,699,736
"Mycobacterium ostraviense",356,681,500,693,881,402
"Mycobacterium pallens",0,403,377,331,324,0
"Mycobacterium paragordonae",426,945,552,803,899,501
"Mycobacterium paraintracellulare",1129,1564,1424,2019,2254,1220
"Mycobacterium paraseoulense",260,575,391,589,578,376
"Mycobacterium paraterrae",315,736,468,791,778,434
"Mycobacterium parmense",408,1031,564,983,1070,579
"Mycobacterium riyadhense",450,1195,934,1202,1642,535
"Mycobacterium rufum",570,1294,865,1223,1371,764
"Mycobacterium saskatchewanense",403,973,688,949,1081,590
"Mycobacterium senegalense",356,705,363,702,706,427
"Mycobacterium seoulense",247,589,370,652,699,386
"Mycobacterium shigaense",311,651,461,655,728,390
"Mycobacterium shinjukuense",272,639,448,596,790,378
"Mycobacterium shottsii",0,71,97,0,0,100
"Mycobacterium simiae",250,602,443,575,666,369
"Mycobacterium sp. 20KCMC460",524,1130,730,1184,1404,603
"Mycobacterium sp. DL440",315,732,480,658,720,363
"Mycobacterium sp. DL592",457,989,635,965,1026,543
"Mycobacterium sp. EPa45",441,925,618,894,1030,586
"Mycobacterium sp. IDR2000157661",640,1773,1192,1557,1728,802
"Mycobacterium sp. JS623",2106,8185,2098,9320,11487,2287
"Mycobacterium sp. MOTT36Y",0,0,0,444,0,0
"Mycobacterium sp. MS1601",389,770,576,758,888,503
"Mycobacterium sp. PYR15",0,377,379,495,569,0
"Mycobacterium sp. TY59",340,660,422,664,854,375
"Mycobacterium sp. WY10",351,635,367,474,615,367
"Mycobacterium sp. YC-RL4",573,1097,929,932,1066,668
"Mycobacterium spongiae",221,420,393,403,459,264
"Mycobacterium stomatepiae",267,669,439,600,710,391
"Mycobacterium tuberculosis",1981,1299,1467,1411,863,1307
"Mycobacterium ulcerans",0,255,359,276,255,229
"Mycobacterium vicinigordonae",211,558,354,451,557,328
"Mycobacterium virginiense",213,464,340,378,425,252
"Mycobacterium xenopi",296,780,514,734,975,386
"Mycobacteroides [Mycobacterium] stephanolepidis",77,182,107,120,145,118
"Mycobacteroides abscessus",374,708,705,998,832,539
"Mycobacteroides chelonae",227,399,352,398,448,335
"Mycobacteroides immunogenum",139,235,207,217,271,144
"Mycobacteroides salmoniphilum",127,205,183,183,216,161
"Mycobacteroides saopaulense",128,232,167,198,244,200
"Mycolicibacillus parakoreensis",203,461,345,387,415,341
"Mycolicibacter hiberniae",157,326,307,284,329,224
"Mycolicibacter minnesotensis",131,257,224,189,246,183
"Mycolicibacter sinensis",330,756,575,424,967,408
"Mycolicibacter sp. MYC017",144,300,247,314,285,226
"Mycolicibacter sp. MYC098",167,438,288,403,506,271
"Mycolicibacter sp. MYC101",140,259,269,323,307,219
"Mycolicibacter sp. MYC123",174,249,170,215,270,187
"Mycolicibacter sp. MYC340",161,343,277,331,389,203
"Mycolicibacter terrae",238,440,329,397,431,325
"Mycolicibacterium aichiense",408,1033,613,950,1001,618
"Mycolicibacterium alvei",379,810,611,733,817,468
"Mycolicibacterium anyangense",408,937,649,907,1056,544
"Mycolicibacterium arabiense",869,1740,1187,1724,1774,1176
"Mycolicibacterium aubagnense",410,831,469,796,845,458
"Mycolicibacterium aurum",712,1539,1206,1389,1459,898
"Mycolicibacterium austroafricanum",2437,4984,3509,4007,4671,2762
"Mycolicibacterium baixiangningiae",632,1308,905,1143,1277,712
"Mycolicibacterium boenickei",1082,2159,1403,2096,2374,1332
"Mycolicibacterium celeriflavum",881,2430,1559,2133,2604,950
"Mycolicibacterium chitae",569,1354,910,1192,1432,782
"Mycolicibacterium chubuense",897,2074,1187,1812,2003,977
"Mycolicibacterium confluentis",560,1325,889,1297,1293,767
"Mycolicibacterium duvalii",596,1159,799,1012,1213,637
"Mycolicibacterium fallax",419,967,690,891,947,616
"Mycolicibacterium farcinogenes",472,1237,811,967,1077,782
"Mycolicibacterium fluoranthenivorans",707,1714,1081,1615,1884,814
"Mycolicibacterium fortuitum",595,1449,1061,1328,1451,726
"Mycolicibacterium gadium",1085,3638,1535,2357,2495,1851
"Mycolicibacterium gilvum",646,1647,1040,1378,1561,878
"Mycolicibacterium hassiacum",611,1506,1006,1341,1668,849
"Mycolicibacterium helvum",543,1083,711,1205,1628,1018
"Mycolicibacterium insubricum",385,778,555,651,765,508
"Mycolicibacterium litorale",1234,2977,1958,2580,3038,1620
"Mycolicibacterium madagascariense",833,1871,1187,1809,1854,1373
"Mycolicibacterium mageritense",738,1703,1106,1716,1861,984
"Mycolicibacterium mengxianglii",494,1158,726,1094,1207,591
"Mycolicibacterium monacense",690,1450,1194,1442,1640,885
"Mycolicibacterium moriokaense",1108,3555,1537,2717,2789,1504
"Mycolicibacterium mucogenicum",322,778,436,553,661,359
"Mycolicibacterium Mycobacterium doricum",544,1300,956,1293,1626,686
"Mycolicibacterium neoaurum",717,1453,1078,1442,1551,965
"Mycolicibacterium nivoides",235,625,389,366,498,288
"Mycolicibacterium parafortuitum",574,1336,911,1278,1252,707
"Mycolicibacterium phlei",736,1836,1180,1582,1824,908
"Mycolicibacterium phocaicum",542,1217,829,1141,1400,811
"Mycolicibacterium poriferae",582,1493,938,1242,1471,891
"Mycolicibacterium psychrotolerans",781,1771,1123,1750,1760,867
"Mycolicibacterium pulveris",802,1871,1268,1708,1990,880
"Mycolicibacterium rhodesiae",1289,4045,1667,3083,3120,1771
"Mycolicibacterium rutilum",1005,2418,1370,2340,2496,1130
"Mycolicibacterium sarraceniae",331,962,577,949,1224,572
"Mycolicibacterium sediminis",875,1972,1572,1782,1874,1562
"Mycolicibacterium septicum",276,645,463,631,703,391
"Mycolicibacterium smegmatis",999,2151,1655,2170,2286,1228
"Mycolicibacterium sp. YH-1",1620,2840,1588,2639,2688,1478
"Mycolicibacterium thermoresistibile",424,1087,907,1034,1176,729
"Mycolicibacterium tokaiense",459,1025,677,916,1050,569
"Mycolicibacterium vaccae",618,1324,1036,1305,1376,802
"Mycolicibacterium vanbaalenii",1212,3905,2003,4095,4286,1678
"Nocardia arthritidis",231,494,277,359,443,386
"Nocardia asteroides",1365,2816,1684,1919,2067,2177
"Nocardia brasiliensis",600,1248,801,958,1007,1007
"Nocardia cyriacigeorgica",484,1033,585,764,911,853
"Nocardia farcinica",403,908,637,627,833,733
"Nocardia gipuzkoensis",252,546,331,473,466,490
"Nocardia huaxiensis",229,435,311,347,445,378
"Nocardia iowensis",190,486,275,360,448,432
"Nocardia mangyaensis",313,546,366,363,399,378
"Nocardia nova",204,427,276,366,365,363
"Nocardia otitidiscaviarum",230,352,311,317,386,366
"Nocardia seriolae",197,387,281,363,448,330
"Nocardia sp. CS682",202,511,280,392,407,387
"Nocardia tengchongensis",236,406,270,443,547,408
"Nocardia terpenica",359,827,517,658,780,617
"Nocardia wallacei",263,526,364,465,513,518
"Nocardia yamanashiensis",233,367,242,378,451,412
"Nocardia yunnanensis",194,374,314,327,425,369
"Rhodococcus aetherivorans",230,543,399,559,624,440
"Rhodococcus coprophilus",183,329,287,288,294,328
"Rhodococcus erythropolis",1308,1308,1206,406,516,640
"Rhodococcus fascians",388,747,775,632,681,675
"Rhodococcus globerulus",694,363,292,210,289,263
"Rhodococcus hoagii",408,782,570,647,636,707
"Rhodococcus jostii",232,510,304,443,418,367
"Rhodococcus koreensis",320,740,316,478,548,390
"Rhodococcus opacus",1229,3789,1730,2148,2232,2131
"Rhodococcus pyridinivorans",394,716,422,585,723,654
"Rhodococcus qingshengii",447,757,510,642,738,709
"Rhodococcus rhodochrous",304,548,424,442,466,473
"Rhodococcus ruber",419,768,581,791,703,638
"Rhodococcus sp. 21391",108,261,180,198,200,224
"Rhodococcus sp. 2G",0,107,93,0,0,0
"Rhodococcus sp. ABRD24",139,319,235,269,283,329
"Rhodococcus sp. AQ5-07",146,165,112,0,79,0
"Rhodococcus sp. B7740",136,207,138,181,217,227
"Rhodococcus sp. DMU1",86,190,98,148,325,276
"Rhodococcus sp. H-CA8f",140,113,0,0,0,0
"Rhodococcus sp. LW-XY12",0,0,0,185,0,0
"Rhodococcus sp. M8",129,180,182,104,195,204
"Rhodococcus sp. MTM3W5.2",788,1840,1350,781,1262,3493
"Rhodococcus sp. P-2",0,44,42,46,0,58
"Rhodococcus sp. P1Y",173,213,272,178,174,231
"Rhodococcus sp. PBTS 1",215,474,310,405,365,419
"Rhodococcus sp. R79",255,512,312,428,423,396
"Rhodococcus sp. RDE2",75,177,108,125,167,149
"Rhodococcus sp. S2-17",158,360,210,270,330,259
"Rhodococcus sp. SGAir0479",237,490,331,358,397,436
"Rhodococcus sp. USK10",271,422,284,394,461,358
"Rhodococcus sp. USK13",128,226,170,159,238,166
"Rhodococcus sp. W8901",271,1350,360,596,614,521
"Rhodococcus sp. WAY2",178,360,281,410,384,317
"Rhodococcus sp. WB1",0,170,0,0,167,179
"Rhodococcus sp. WB9",127,265,164,278,281,157
"Rhodococcus sp. WMMA185",124,189,143,193,217,214
"Rhodococcus sp. X156",304,625,406,556,539,636
"Rhodococcus sp. YL-1",0,126,97,99,132,0
"Rhodococcus sp. ZPP",155,393,246,305,318,259
"Rhodococcus triatomae",204,431,264,350,343,375
"Segniliparus rotundus",105,163,134,179,194,146
"Tsukamurella paurometabola",344,610,443,504,567,526
"Tsukamurella pulmonis",193,364,262,276,266,319
"Tsukamurella tyrosinosolvens",255,546,373,462,491,524
"Frankia alni",309,695,515,657,751,654
"Frankia Candidatus Frankia datiscae",265,638,471,639,670,593
"Frankia casuarinae",225,514,357,564,540,521
"Frankia inefficax",817,1562,1069,1651,1703,1621
"Frankia sp. ArI3",269,634,396,551,580,559
"Frankia sp. QA3",296,616,409,570,665,584
"Blastococcus saxobsidens",1099,1462,787,1044,853,995
"Geodermatophilus obscurus",1145,1752,945,1269,1300,1336
"Modestobacter marinus",1027,1569,859,1258,1210,1065
"Modestobacter sp. L9-4",614,904,592,722,692,760
"Natronoglycomyces albus",43,88,71,98,81,75
"Stackebrandtia nassauensis",297,482,326,487,480,497
"Jatrophihabitans sp. GAS493",280,662,358,634,739,485
"Jiangella alkaliphila",556,1392,847,978,1085,1373
"Jiangella sp. DSM 45060",555,1318,930,1113,1076,1350
"Kineococcus radiotolerans",297,590,374,491,535,546
"Beutenbergia cavernae",364,681,547,539,659,627
"Luteimicrobium xylanilyticum",291,630,416,516,595,586
"Miniimonas sp. S16",499,816,654,744,838,911
"Pengzhenrongella sicca",427,943,612,703,815,801
"Georgenia faecalis",217,484,319,406,350,527
"Georgenia wutianyii",258,546,365,391,513,564
"Georgenia yuyongxinii",305,770,530,514,619,696
"Brevibacterium atlanticum",79,137,90,125,105,109
"Brevibacterium aurantiacum",138,255,220,183,235,207
"Brevibacterium casei",355,695,480,505,617,726
"Brevibacterium limosum",89,90,72,68,95,84
"Brevibacterium linens",141,262,216,265,239,256
"Brevibacterium luteolum",183,306,231,242,296,305
"Brevibacterium oceani",71,122,94,112,109,147
"Brevibacterium pigmentatum",0,80,68,65,75,70
"Brevibacterium sandarakinum",61,143,90,79,119,140
"Brevibacterium siliguriense",44,78,92,51,69,75
"Brevibacterium sp. 'Marine'",80,86,69,69,87,69
"Brevibacterium sp. CS2",293,485,307,350,423,507
"Brevibacterium sp. HY170",31,85,71,65,66,57
"Brevibacterium sp. SMBL_HHYL_HB1",90,209,133,135,151,178
"Brevibacterium sp. W7.2",0,280,266,256,253,389
"Actinotalea sp. JY-7876",305,670,441,501,581,654
"Cellulomonas fimi",771,1307,943,774,896,997
"Cellulomonas flavigena",332,599,378,430,506,537
"Cellulomonas gilvus",361,662,481,474,678,632
"Cellulomonas iranensis",369,636,421,454,536,583
"Cellulomonas shaoxiangyii",344,529,431,471,560,591
"Cellulomonas sp. C5510",427,718,567,555,650,696
"Cellulomonas sp. EW123",366,740,483,448,586,590
