"","Total Number of reads for each species across all samples"
"Mycobacterium lepromatosis",302
"Mycobacterium malmoense",2841
"Mycobacterium mantenii",3591
"Mycobacterium marinum",5360
"Mycobacterium marseillense",2744
"Mycobacterium noviomagense",3380
"Mycobacterium novum",3304
"Mycobacterium ostraviense",3513
"Mycobacterium pallens",1435
"Mycobacterium paragordonae",4126
"Mycobacterium paraintracellulare",9610
"Mycobacterium paraseoulense",2769
"Mycobacterium paraterrae",3522
"Mycobacterium parmense",4635
"Mycobacterium riyadhense",5958
"Mycobacterium rufum",6087
"Mycobacterium saskatchewanense",4684
"Mycobacterium senegalense",3259
"Mycobacterium seoulense",2943
"Mycobacterium shigaense",3196
"Mycobacterium shinjukuense",3123
"Mycobacterium shottsii",268
"Mycobacterium simiae",2905
"Mycobacterium sp. 20KCMC460",5575
"Mycobacterium sp. DL440",3268
"Mycobacterium sp. DL592",4615
"Mycobacterium sp. EPa45",4494
"Mycobacterium sp. IDR2000157661",7692
"Mycobacterium sp. JS623",35483
"Mycobacterium sp. MOTT36Y",444
"Mycobacterium sp. MS1601",3884
"Mycobacterium sp. PYR15",1820
"Mycobacterium sp. TY59",3315
"Mycobacterium sp. WY10",2809
"Mycobacterium sp. YC-RL4",5265
"Mycobacterium spongiae",2160
"Mycobacterium stomatepiae",3076
"Mycobacterium tuberculosis",8328
"Mycobacterium ulcerans",1374
"Mycobacterium vicinigordonae",2459
"Mycobacterium virginiense",2072
"Mycobacterium xenopi",3685
"Mycobacteroides [Mycobacterium] stephanolepidis",749
"Mycobacteroides abscessus",4156
"Mycobacteroides chelonae",2159
"Mycobacteroides immunogenum",1213
"Mycobacteroides salmoniphilum",1075
"Mycobacteroides saopaulense",1169
"Mycolicibacillus parakoreensis",2152
"Mycolicibacter hiberniae",1627
"Mycolicibacter minnesotensis",1230
"Mycolicibacter sinensis",3460
"Mycolicibacter sp. MYC017",1516
"Mycolicibacter sp. MYC098",2073
"Mycolicibacter sp. MYC101",1517
"Mycolicibacter sp. MYC123",1265
"Mycolicibacter sp. MYC340",1704
"Mycolicibacter terrae",2160
"Mycolicibacterium aichiense",4623
"Mycolicibacterium alvei",3818
"Mycolicibacterium anyangense",4501
"Mycolicibacterium arabiense",8470
"Mycolicibacterium aubagnense",3809
"Mycolicibacterium aurum",7203
"Mycolicibacterium austroafricanum",22370
"Mycolicibacterium baixiangningiae",5977
"Mycolicibacterium boenickei",10446
"Mycolicibacterium celeriflavum",10557
"Mycolicibacterium chitae",6239
"Mycolicibacterium chubuense",8950
"Mycolicibacterium confluentis",6131
"Mycolicibacterium duvalii",5416
"Mycolicibacterium fallax",4530
"Mycolicibacterium farcinogenes",5346
"Mycolicibacterium fluoranthenivorans",7815
"Mycolicibacterium fortuitum",6610
"Mycolicibacterium gadium",12961
"Mycolicibacterium gilvum",7150
"Mycolicibacterium hassiacum",6981
"Mycolicibacterium helvum",6188
"Mycolicibacterium insubricum",3642
"Mycolicibacterium litorale",13407
"Mycolicibacterium madagascariense",8927
"Mycolicibacterium mageritense",8108
"Mycolicibacterium mengxianglii",5270
"Mycolicibacterium monacense",7301
"Mycolicibacterium moriokaense",13210
"Mycolicibacterium mucogenicum",3109
"Mycolicibacterium Mycobacterium doricum",6405
"Mycolicibacterium neoaurum",7206
"Mycolicibacterium nivoides",2401
"Mycolicibacterium parafortuitum",6058
"Mycolicibacterium phlei",8066
"Mycolicibacterium phocaicum",5940
"Mycolicibacterium poriferae",6617
"Mycolicibacterium psychrotolerans",8052
"Mycolicibacterium pulveris",8519
"Mycolicibacterium rhodesiae",14975
"Mycolicibacterium rutilum",10759
"Mycolicibacterium sarraceniae",4615
"Mycolicibacterium sediminis",9637
"Mycolicibacterium septicum",3109
"Mycolicibacterium smegmatis",10489
"Mycolicibacterium sp. YH-1",12853
"Mycolicibacterium thermoresistibile",5357
"Mycolicibacterium tokaiense",4696
"Mycolicibacterium vaccae",6461
"Mycolicibacterium vanbaalenii",17179
"Nocardia arthritidis",2190
"Nocardia asteroides",12028
"Nocardia brasiliensis",5621
"Nocardia cyriacigeorgica",4630
"Nocardia farcinica",4141
"Nocardia gipuzkoensis",2558
"Nocardia huaxiensis",2145
"Nocardia iowensis",2191
"Nocardia mangyaensis",2365
"Nocardia nova",2001
"Nocardia otitidiscaviarum",1962
"Nocardia seriolae",2006
"Nocardia sp. CS682",2179
"Nocardia tengchongensis",2310
"Nocardia terpenica",3758
"Nocardia wallacei",2649
"Nocardia yamanashiensis",2083
"Nocardia yunnanensis",2003
"Rhodococcus aetherivorans",2795
"Rhodococcus coprophilus",1709
"Rhodococcus erythropolis",5384
"Rhodococcus fascians",3898
"Rhodococcus globerulus",2111
"Rhodococcus hoagii",3750
"Rhodococcus jostii",2274
"Rhodococcus koreensis",2792
"Rhodococcus opacus",13259
"Rhodococcus pyridinivorans",3494
"Rhodococcus qingshengii",3803
"Rhodococcus rhodochrous",2657
"Rhodococcus ruber",3900
"Rhodococcus sp. 21391",1171
"Rhodococcus sp. 2G",200
"Rhodococcus sp. ABRD24",1574
"Rhodococcus sp. AQ5-07",502
"Rhodococcus sp. B7740",1106
"Rhodococcus sp. DMU1",1123
"Rhodococcus sp. H-CA8f",253
"Rhodococcus sp. LW-XY12",185
"Rhodococcus sp. M8",994
"Rhodococcus sp. MTM3W5.2",9514
"Rhodococcus sp. P-2",190
"Rhodococcus sp. P1Y",1241
"Rhodococcus sp. PBTS 1",2188
"Rhodococcus sp. R79",2326
"Rhodococcus sp. RDE2",801
"Rhodococcus sp. S2-17",1587
"Rhodococcus sp. SGAir0479",2249
"Rhodococcus sp. USK10",2190
"Rhodococcus sp. USK13",1087
"Rhodococcus sp. W8901",3712
"Rhodococcus sp. WAY2",1930
"Rhodococcus sp. WB1",516
"Rhodococcus sp. WB9",1272
"Rhodococcus sp. WMMA185",1080
"Rhodococcus sp. X156",3066
"Rhodococcus sp. YL-1",454
"Rhodococcus sp. ZPP",1676
"Rhodococcus triatomae",1967
"Segniliparus rotundus",921
"Tsukamurella paurometabola",2994
"Tsukamurella pulmonis",1680
"Tsukamurella tyrosinosolvens",2651
"Frankia alni",3581
"Frankia Candidatus Frankia datiscae",3276
"Frankia casuarinae",2721
"Frankia inefficax",8423
"Frankia sp. ArI3",2989
"Frankia sp. QA3",3140
"Blastococcus saxobsidens",6240
"Geodermatophilus obscurus",7747
"Modestobacter marinus",6988
"Modestobacter sp. L9-4",4284
"Natronoglycomyces albus",456
"Stackebrandtia nassauensis",2569
"Jatrophihabitans sp. GAS493",3158
"Jiangella alkaliphila",6231
"Jiangella sp. DSM 45060",6342
"Kineococcus radiotolerans",2833
"Beutenbergia cavernae",3417
"Luteimicrobium xylanilyticum",3034
"Miniimonas sp. S16",4462
"Pengzhenrongella sicca",4301
"Georgenia faecalis",2303
"Georgenia wutianyii",2637
"Georgenia yuyongxinii",3434
"Brevibacterium atlanticum",645
"Brevibacterium aurantiacum",1238
"Brevibacterium casei",3378
"Brevibacterium limosum",498
"Brevibacterium linens",1379
"Brevibacterium luteolum",1563
"Brevibacterium oceani",655
"Brevibacterium pigmentatum",358
"Brevibacterium sandarakinum",632
"Brevibacterium siliguriense",409
"Brevibacterium sp. 'Marine'",460
"Brevibacterium sp. CS2",2365
"Brevibacterium sp. HY170",375
"Brevibacterium sp. SMBL_HHYL_HB1",896
"Brevibacterium sp. W7.2",1444
"Actinotalea sp. JY-7876",3152
"Cellulomonas fimi",5688
"Cellulomonas flavigena",2782
"Cellulomonas gilvus",3288
"Cellulomonas iranensis",2999
"Cellulomonas shaoxiangyii",2926
"Cellulomonas sp. C5510",3613
"Cellulomonas sp. EW123",3213
"Cellulomonas sp. H30R-01",4905
"Cellulomonas sp. JZ18",3241
"Cellulomonas sp. PSBB021",4114
"Cellulomonas sp. Y8",4494
"Cellulomonas sp. zg-ZUI157",2627
"Cellulomonas sp. zg-ZUI188",9392
"Cellulomonas sp. zg-ZUI222",2866
"Cellulomonas taurus",2290
"Oerskovia sp. KBS0722",3075
"Paraoerskovia marina",1693
"Pseudactinotalea sp. HY158",1969
"Brachybacterium avium",1027
"Brachybacterium faecium",1196
"Brachybacterium ginsengisoli",1408
"Brachybacterium saurashtrense",1372
"Brachybacterium sp. CBA3105",1772
"Brachybacterium sp. P6-10-X1",1288
"Brachybacterium sp. SGAir0954",1535
"Brachybacterium vulturis",1078
"Dermabacter jinjuensis",1108
"Dermabacter vaginalis",1172
"Devriesea agamarum",275
"Allobranchiibius sp. GilTou73",3129
"Dermacoccus nishinomiyaensis",3109
"Dermacoccus sp. PAMC28757",2054
"Luteipulveratus mongoliensis",3691
"Yimella sp. cx-51",1954
"Austwickia chelonae",1008
"Dermatophilus congolensis",263
"Gephyromycinifex aptenodytis",1126
"Arsenicicoccus sp. oral taxon 190",4561
"Intrasporangium calvum",8843
"Janibacter indicus",3143
"Janibacter limosus",3257
"Janibacter melonis",4757
"Janibacter sp. YB324",2243
"Pedococcus dokdonensis",9300
"Phycicoccus endophyticus",7847
"Phycicoccus sp. HDW14",15450
"Tetrasphaera sp. HKS02",6860
"Jonesia denitrificans",163
"Kytococcus sedentarius",2648
"Agreia sp. COWG",1475
"Agrococcus carbonis",2489
"Agrococcus jejuensis",2333
"Agrococcus sp. Marseille-Q4369",2150
"Agrococcus sp. SGAir0287",2056
"Agromyces aureus",8077
"Agromyces badenianii",8021
"Agromyces flavus",6324
"Agromyces intestinalis",4296
"Agromyces laixinhei",6214
"Agromyces marinus",4451
"Agromyces protaetiae",4142
"Agromyces sp. G127AT",2816
"Agromyces sp. LHK192",5077
"Aquiluna borgnonia",112
"Aquiluna Candidatus Aquiluna sp. UB-MaderosW2red",22
"Aurantimicrobium photophilum",144
"Chryseoglobus indicus",855
"Chryseoglobus sp. 28M-23",991
"Clavibacter michiganensis",9528
"Clavibacter sp. A6099",824
"Clavibacter zhangzhiyongii",1154
"Cnuibacter physcomitrellae",2538
"Cryobacterium arcticum",1720
"Cryobacterium soli",1319
"Cryobacterium sp. LW097",1611
"Cryobacterium sp. PAMC25264",956
"Curtobacterium flaccumfaciens",2579
"Curtobacterium sp. 24E2",1228
"Curtobacterium sp. BH-2-1-1",1585
"Curtobacterium sp. C1",893
"Curtobacterium sp. Csp2",1253
"Curtobacterium sp. L6-1",1450
"Curtobacterium sp. MR_MD2014",1279
"Curtobacterium sp. SGAir0471",1113
"Curtobacterium sp. TC1",1164
"Curtobacterium sp. TXMA1",986
"Curtobacterium sp. YC1",1315
"Diaminobutyricimonas sp. LJ205",1658
"Frigoribacterium sp. NBH87",2110
"Frondihabitans sp. 762G35",1877
"Frondihabitans sp. PAMC 28766",2002
"Glaciihabitans sp. INWT7",1360
"Gryllotalpicola protaetiae",2238
"Herbiconiux sp. SALV-R1",2201
"Humibacter sp. WJ7-1",2364
"Leifsonia shinshuensis",2970
"Leifsonia sp. 21MFCrub1.1",4044
"Leifsonia sp. PS1209",2449
"Leifsonia sp. ZF2019",2321
"Leifsonia xyli",1577
"Leucobacter coleopterorum",327
"Leucobacter denitrificans",343
"Leucobacter insecticola",521
"Leucobacter luti",556
"Leucobacter muris",1623
"Leucobacter sp. CX169",1176
"Leucobacter sp. NB 10",1437
"Leucobacter sp. Psy1",1189
"Leucobacter triazinivorans",2199
"Leucobacter viscericola",529
"Marisediminicola antarctica",1773
"Microbacterium amylolyticum",787
"Microbacterium atlanticum",3802
"Microbacterium aurum",2182
"Microbacterium binotii",862
"Microbacterium caowuchunii",2065
"Microbacterium chengjingii",617
"Microbacterium chocolatum",2188
"Microbacterium cremeum",4123
"Microbacterium endophyticum",637
"Microbacterium esteraromaticum",1607
"Microbacterium fandaimingii",802
"Microbacterium foliorum",4122
"Microbacterium hominis",14761
"Microbacterium hydrocarbonoxydans",1377
"Microbacterium lemovicicum",3371
"Microbacterium lushaniae",1869
"Microbacterium luteum",2878
"Microbacterium oleivorans",3318
"Microbacterium oryzae",1881
"Microbacterium oxydans",2589
"Microbacterium paludicola",818
"Microbacterium paraoxydans",1715
"Microbacterium protaetiae",2094
"Microbacterium pygmaeum",4556
"Microbacterium resistens",2021
"Microbacterium schleiferi",2140
"Microbacterium sediminis",2768
"Microbacterium sp. 1.5R",1624
"Microbacterium sp. 10M-3C3",3076
"Microbacterium sp. 1S1",1615
"Microbacterium sp. 4R-513",4507
"Microbacterium sp. A18JL241",1774
"Microbacterium sp. ABRD_28",2253
"Microbacterium sp. BH-3-3-3",2163
"Microbacterium sp. CBA3102",1709
"Microbacterium sp. CGR1",2504
"Microbacterium sp. cx-55",2040
"Microbacterium sp. H1-D42",1799
"Microbacterium sp. JZ31",2532
"Microbacterium sp. LKL04",1821
"Microbacterium sp. NIBRBAC000506063",2869
"Microbacterium sp. No. 7",4023
"Microbacterium sp. Nx66",1498
"Microbacterium sp. PAMC22086",801
"Microbacterium sp. PM5",1811
"Microbacterium sp. RG1",835
"Microbacterium sp. SGAir0570",794
"Microbacterium sp. str. 'China'",725
"Microbacterium sp. TPU 3598",1509
"Microbacterium sp. XT11",1753
"Microbacterium sp. Y-01",2041
"Microbacterium sp. YJN-G",2415
"Microbacterium testaceum",1882
"Microbacterium wangchenii",1884
"Microcella alkaliphila",1438
"Microcella flavibacter",2520
"Microterricola viridarii",5445
"Mycetocola sp. JXN-3",758
"Mycetocola sp. MSC19",634
"Mycetocola zhujimingii",915
"Plantibacter flavus",1053
"Plantibacter sp. M259",1144
"Plantibacter sp. PA-3-X8",1574
"Pontimonas salivibrio",94
"Protaetiibacter intestinalis",3223
"Protaetiibacter larvae",2593
"Protaetiibacter sp. SSC-01",3020
"Pseudoclavibacter sp. Marseille-Q3772",348
"Rathayibacter festucae",3043
"Rathayibacter iranicus",802
"Rathayibacter rathayi",811
"Rathayibacter sp. VKM Ac-2759",2154
"Rathayibacter sp. VKM Ac-2760",1914
"Rathayibacter sp. VKM Ac-2762",946
"Rathayibacter sp. VKM Ac-2801",1141
"Rathayibacter sp. VKM Ac-2804",1627
"Rathayibacter sp. VKM Ac-2805",807
"Rathayibacter tanaceti",1414
"Rathayibacter toxicus",337
"Rathayibacter tritici",813
"Rhodoluna limnophila",26
"Salinibacterium hongtaonis",667
"Salinibacterium sp. dk2585",1305
"Salinibacterium sp. M195",480
"Salinibacterium sp. UTAS2018",584
"Salinibacterium sp. ZJ450",2108
"Salinibacterium sp. ZJ70",1796
"Subtercola sp. AK-R2A1-2",1411
"Subtercola sp. PAMC28395",1112
"Arthrobacter agilis",2413
"Arthrobacter alpinus",2169
"Arthrobacter crystallopoietes",2047
"Arthrobacter dokdonellae",1062
"Arthrobacter jiangjiafuii",818
"Arthrobacter sp. 24S4-2",3439
"Arthrobacter sp. C1-1",317
"Arthrobacter sp. D5-1",818
"Arthrobacter sp. ERGS1:01",1153
"Arthrobacter sp. FB24",2651
"Arthrobacter sp. FW305-BF8",1787
"Arthrobacter sp. FW306-05-C",919
"Arthrobacter sp. FW306-06-A",641
"Arthrobacter sp. FW306-07-I",425
"Arthrobacter sp. FW306-2-2C-D06B",1385
"Arthrobacter sp. KBS0702",3086
"Arthrobacter sp. NicSoilB11",581
"Arthrobacter sp. NicSoilB4",9972
"Arthrobacter sp. NicSoilB8",19295
"Arthrobacter sp. NicSoilC5",1204
"Arthrobacter sp. NtRootA1",672
"Arthrobacter sp. PAMC 25486",792
"Arthrobacter sp. PAMC25284",1556
"Arthrobacter sp. PAMC25564",3210
"Arthrobacter sp. PGP41",1076
"Arthrobacter sp. PM3",6818
"Arthrobacter sp. QXT-31",1752
"Arthrobacter sp. StoSoilA2",373
"Arthrobacter sp. StoSoilB13",487
"Arthrobacter sp. StoSoilB19",930
"Arthrobacter sp. StoSoilB20",673
"Arthrobacter sp. StoSoilB5",803
"Arthrobacter sp. U41",5059
"Arthrobacter sp. UKPF54-2",2901
"Arthrobacter sp. YN",647
"Arthrobacter sulfonylureivorans",1375
"Arthrobacter sunyaminii",737
"Arthrobacter woluwensis",1130
"Auritidibacter sp. NML130574",248
"Citricoccus sp. SGAir0253",1616
"Glutamicibacter arilaitensis",384
"Glutamicibacter creatinolyticus",757
"Glutamicibacter halophytocola",438
"Glutamicibacter mishrai",326
"Glutamicibacter nicotianae",1163
"Glutamicibacter protophormiae",1630
"Kocuria flava",1947
"Kocuria indica",280
"Kocuria palustris",1569
"Kocuria rhizophila",1838
"Kocuria rosea",2339
"Kocuria sp. KD4",409
"Kocuria sp. TGY1127_2",405
"Kocuria turfanensis",1822
"Kocuria varians",1118
"Micrococcus luteus",5352
"Micrococcus sp. KD337-16",1261
"Neomicrococcus aestuarii",421
"Nesterenkonia sp. NBAIMH1",641
"Paenarthrobacter aurescens",1171
"Paenarthrobacter nicotinovorans",144
"Paenarthrobacter sp. YJN-5",418
"Paenarthrobacter sp. YJN-D",204
"Paenarthrobacter ureafaciens",1254
"Paeniglutamicibacter sp. Y32M11",568
"Pseudarthrobacter chlorophenolicus",856
"Pseudarthrobacter equi",890
"Pseudarthrobacter phenanthrenivorans",1067
"Pseudarthrobacter psychrotolerans",1266
"Pseudarthrobacter sp. BIM B-2242",1127
"Pseudarthrobacter sp. L1SW",782
"Pseudarthrobacter sp. NBSH8",873
"Pseudarthrobacter sp. NIBRBAC000502770",839
"Pseudarthrobacter sp. NIBRBAC000502771",575
"Pseudarthrobacter sp. NIBRBAC000502772",1184
"Pseudarthrobacter sulfonivorans",1316
"Psychromicrobium lacuslunae",283
"Renibacterium salmoninarum",133
"Rothia aeria",111
"Rothia amarae",110
"Rothia dentocariosa",132
"Rothia kristinae",1857
"Rothia mucilaginosa",442
"Rothia nasimurium",305
"Sinomonas atrocyanea",2450
"Sinomonas sp. R1AF57",1820
"Ornithinimicrobium avium",3551
"Ornithinimicrobium ciconiae",2321
"Ornithinimicrobium flavum",3058
"Ornithinimicrobium pratense",1971
"Ornithinimicrobium sp. HY006",2612
"Ornithinimicrobium sp. INDO-MA30-4",676
"Serinicoccus chungangensis",2717
"Serinicoccus hydrothermalis",2580
"Serinicoccus marinus",2295
"Serinicoccus profundi",2549
"Cellulosimicrobium cellulans",7833
"Cellulosimicrobium sp. 72-3",580
